stop_id,stop_name,stop_lat,stop_lon,fastest_train_minutes
4,Harlem-125 St,40.805157,-73.939149,11
622,Yankees-E 153 St,40.8253,-73.9299,17
184,Highbridge Yard,40.8359,-73.9315,22
9,Morris Heights,40.854252,-73.919583,21
10,University Heights,40.862248,-73.91312,23
11,Marble Hill,40.874333,-73.910941,23
14,Spuyten Duyvil,40.878245,-73.921455,28
16,Riverdale,40.903981,-73.914126,32
17,Ludlow,40.924972,-73.904612,34
18,Yonkers,40.935795,-73.902668,30
19,Glenwood,40.950496,-73.899062,39
20,Greystone,40.972705,-73.889069,34
22,Hastings-on-Hudson,40.994109,-73.884512,37
23,Dobbs Ferry,41.012459,-73.87949,40
24,Ardsley-on-Hudson,41.026198,-73.876543,42
25,Irvington,41.039993,-73.873083,44
27,Tarrytown,41.076473,-73.864563,40
29,Philipse Manor,41.09492,-73.869755,42
30,Scarborough,41.135763,-73.866163,46
31,Ossining,41.157663,-73.869281,48
33,Croton-Harmon,41.189903,-73.882394,48
37,Cortlandt,41.246259,-73.921884,57
39,Peekskill,41.285962,-73.93042,63
42,Garrison,41.38178,-73.947202,75
43,Cold Spring,41.415283,-73.95809,79
46,Beacon,41.504007,-73.984528,73
49,New Hamburg,41.587448,-73.947226,80
51,Poughkeepsie,41.705839,-73.937946,89
54,Melrose,40.825761,-73.915231,17
55,Tremont,40.847301,-73.89955,21
56,Fordham,40.8615,-73.89058,19
57,Botanical Garden,40.866555,-73.883109,25
58,Williams Bridge,40.878569,-73.871064,24
59,Woodlawn,40.895361,-73.862916,26
61,Wakefield,40.905936,-73.85568,28
62,Mt Vernon West,40.912142,-73.851129,25
64,Fleetwood,40.92699,-73.83948,28
65,Bronxville,40.93978,-73.835208,30
66,Tuckahoe,40.949393,-73.830166,33
68,Crestwood,40.958997,-73.820564,33
71,Scarsdale,40.989168,-73.808634,33
72,Hartsdale,41.010333,-73.796407,37
74,White Plains,41.032589,-73.775208,38
76,North White Plains,41.049806,-73.773142,41
78,Valhalla,41.072819,-73.772599,45
80,Hawthorne,41.108581,-73.79625,50
81,Pleasantville,41.135222,-73.792661,53
83,Chappaqua,41.158015,-73.774885,55
84,Mt Kisco,41.208242,-73.729778,61
85,Bedford Hills,41.237316,-73.699936,65
86,Katonah,41.259552,-73.684155,70
88,Goldens Bridge,41.294338,-73.677655,67
89,Purdy's,41.325775,-73.659061,72
90,Croton Falls,41.347722,-73.662269,76
91,Brewster,41.39447,-73.619802,82
94,Southeast,41.413203,-73.623787,86
97,Patterson,41.511827,-73.604584,98
98,Pawling,41.564205,-73.600524,104
100,Harlem Valley-Wingdale,41.637525,-73.57145,111
101,Dover Plains,41.740401,-73.576502,120
176,Tenmile River,41.779938,-73.558204,125
177,Wassaic,41.814722,-73.562197,129
105,Mt Vernon East ,40.912161,-73.832185,27
106,Pelham,40.910321,-73.810242,30
108,New Rochelle,40.911605,-73.783807,33
110,Larchmont,40.933394,-73.759792,33
111,Mamaroneck,40.954061,-73.736125,37
112,Harrison,40.969432,-73.712964,40
114,Rye,40.985922,-73.682553,40
115,Port Chester,41.000732,-73.6647,43
116,Greenwich,41.021277,-73.624621,47
118,Cos Cob,41.030171,-73.598306,49
120,Riverside,41.031682,-73.588173,51
121,Old Greenwich,41.033817,-73.565859,54
124,Stamford,41.046611,-73.542846,44
153,Glenbrook,41.070547,-73.520021,55
154,Springdale,41.08876,-73.517828,59
155,Talmadge Hill,41.116012,-73.498149,63
157,New Canaan,41.146305,-73.495626,68
127,Noroton Heights,41.069041,-73.49788,58
128,Darien,41.076913,-73.472966,61
129,Rowayton,41.077456,-73.445527,64
131,South Norwalk,41.09673,-73.421132,61
158,Merritt 7,41.146618,-73.427859,76
160,Wilton,41.196202,-73.432434,83
161,Cannondale,41.21662,-73.426703,87
162,Branchville,41.26763,-73.441421,93
163,Redding,41.325684,-73.4338,102
164,Bethel,41.376225,-73.418171,110
165,Danbury,41.396146,-73.44879,116
133,East Norwalk,41.103996,-73.404588,65
134,Westport,41.118928,-73.371413,68
136,Green's Farms,41.122265,-73.315408,74
137,Southport,41.134844,-73.28897,77
138,Fairfield,41.143077,-73.257742,75
188,Fairfield-Black Rock,41.161,-73.234336,79
140,Bridgeport,41.178677,-73.187076,70
143,Stratford,41.194255,-73.131532,91
145,Milford,41.223231,-73.057647,98
190,West Haven,41.27142,-72.963488,105
149,New Haven,41.296501,-72.92829,90
