from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246103624610435+1901546+1,246103624610435+1901553+1,1,
20,20,,,246108924610912+1901547+1,246108924610912+1901554+1,1,
20,20,,,246103924610402+1901544+1,246103924610402+1901551+1,1,
20,20,,,246106124610633+1901547+1,246106124610633+1901554+1,1,
20,20,,,246106124610634+1901547+1,246106124610634+1901554+1,1,
20,20,,,246106724610841+1901547+1,246106724610841+1901554+1,1,
20,20,,,246109524611751+1901547+1,246109524611751+1901554+1,1,
20,20,,,246105024611765+1901548+1,246105024611765+1901555+1,1,
20,20,,,246103924610401+1901544+1,246103924610401+1901551+1,1,
20,20,,,246106724610842+1901547+1,246106724610842+1901554+1,1,
20,20,,,246104624610564+1901547+1,246104624610564+1901554+1,1,
20,20,,,246106124610632+1901547+1,246106124610632+1901554+1,1,
20,20,,,246104624610561+1901547+1,246104624610561+1901554+1,1,
20,20,,,246106724610843+1901547+1,246106724610843+1901554+1,1,
20,20,,,246109524611754+1901547+1,246109524611754+1901554+1,1,
20,20,,,246104624610562+1901547+1,246104624610562+1901554+1,1,
20,20,,,246106724610844+1901547+1,246106724610844+1901554+1,1,
20,20,,,246108924610913+1901547+1,246108924610913+1901554+1,1,
20,20,,,246103424610343+1901545+1,246103424610343+1901552+1,1,
20,20,,,246109524611753+1901547+1,246109524611753+1901554+1,1,
20,20,,,246103324610332+1901544+1,246103324610332+1901551+1,1,
20,20,,,246104624610563+1901547+1,246104624610563+1901554+1,1,
20,20,,,246108924610914+1901547+1,246108924610914+1901554+1,1,
20,20,,,246109524611752+1901547+1,246109524611752+1901554+1,1,
20,20,,,246106124610634+1901630+1,246106124610634+1904301+1,1,
20,20,,,246106724610841+1901630+1,246106724610841+1904301+1,1,
20,20,,,246108924610914+1901630+1,246108924610914+1904301+1,1,
20,20,,,246104624610561+1901630+1,246104624610561+1904301+1,1,
20,20,,,246106124610633+1901630+1,246106124610633+1904301+1,1,
20,20,,,246103624611765+1901629+1,246103624611765+1901718+1,1,
20,20,,,246109524611751+1901630+1,246109524611751+1904301+1,1,
20,20,,,246104624610563+1901630+1,246104624610563+1904301+1,1,
20,20,,,246104624610564+1901630+1,246104624610564+1904301+1,1,
20,20,,,246108924610912+1901630+1,246108924610912+1904301+1,1,
20,20,,,246109524611753+1901630+1,246109524611753+1904301+1,1,
20,20,,,246104624610562+1901630+1,246104624610562+1904301+1,1,
20,20,,,246106124610632+1901630+1,246106124610632+1904301+1,1,
20,20,,,246106724610843+1901630+1,246106724610843+1904301+1,1,
20,20,,,246106724610842+1901630+1,246106724610842+1904301+1,1,
20,20,,,246106724610844+1901630+1,246106724610844+1904301+1,1,
20,20,,,246109524611754+1901630+1,246109524611754+1904301+1,1,
20,20,,,246108924610913+1901630+1,246108924610913+1904301+1,1,
20,20,,,246109524611752+1901630+1,246109524611752+1904301+1,1,
33,33,,,246107224610866+1905117+0,246107224610866+1904706+0,1,
33,33,,,246110024611776+1905117+0,246110024611776+1904706+0,1,
33,33,,,246106624610807+1905133+0,246106624610807+1904729+0,1,
33,33,,,246105124610586+1905152+0,246105124610586+1904748+0,1,
33,33,,,246107224610866+1905152+0,246107224610866+1904748+0,1,
33,33,,,246108724610877+1905153+0,246108724610877+1904749+0,1,
33,33,,,246108824610936+1905164+0,246108824610936+1904765+0,1,
33,33,,,246104624610561+1905177+0,246104624610561+1904397+0,1,
33,33,,,246104624610563+1905177+0,246104624610563+1904397+0,1,
33,33,,,246106724610841+1905177+0,246106724610841+1904397+0,1,
33,33,,,246108924610912+1905177+0,246108924610912+1904397+0,1,
33,33,,,246109524611754+1905177+0,246109524611754+1904397+0,1,
33,33,,,246107224610866+1905184+0,246107224610866+1904786+0,1,
33,33,,,246108824610936+1905184+0,246108824610936+1904786+0,1,
33,33,,,246105124610586+1905201+0,246105124610586+1904807+0,1,
33,33,,,246110024611776+1905201+0,246110024611776+1904807+0,1,
33,33,,,246106024610656+1905219+0,246106024610656+1904830+0,1,
33,33,,,246108724610877+1905220+0,246108724610877+1904831+0,1,
33,33,,,246103824610527+1905234+0,246103824610527+1904851+0,1,
33,33,,,246109424611717+1905234+0,246109424611717+1904851+0,1,
